SubjectID;VideoID;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2;user-definedlabeln
1;11;2571996,828;1074,355532;12,9225251;2,597131235;11,81415407;14,17738999;94,61312133;2,088850749;0
1;11;2507045,443;853,2977845;36,05630572;24,03779264;10,67049386;34,11362786;100,5737347;0,969109482;0
1;11;2566492,794;1262,724209;55,45977479;8,310119777;33,57548141;12,06226851;98,42980996;1,951301863;0
1;11;2556358,822;550,8902069;18,53849575;21,64518488;31,51031619;15,6601177;122,2279441;1,571648945;0
1;11;2633392,284;1436,415725;32,09580128;3,601643564;8,649217382;42,36587004;172,0730249;1,179953722;0
1;11;2590580,332;746,1964922;7,102580825;25,43807401;12,42691032;27,75989836;123,785387;1,248482313;0
1;11;2577195,657;854,5008353;27,04761315;29,43811859;19,19737518;34,14656217;94,68593515;0,947902345;0
1;11;2540096,394;405,5740669;70,50372055;17,09573292;11,99915777;9,067262952;99,6195501;1,392275255;0
1;11;2565418,469;1112,912793;28,57223726;8,288145081;21,32603293;28,8564773;122,2397765;0,993234342;0
1;11;2653568,949;1534,687997;40,78192087;6,516428117;15,38798687;15,22906185;204,8545397;1,108410175;0
1;11;2581028,972;301,6282185;25,66677907;32,11649527;4,455967147;46,22650773;167,5639424;1,434874527;0
1;11;2629876,094;339,9733884;74,80008804;30,01894345;21,20505041;22,11044953;150,8644627;1,18158632;0
1;11;2660682,054;1643,803597;70,89676375;25,91600751;44,15292033;13,35338636;181,3763756;3,16148449;0
1;11;2663743,436;2232,799242;9,671305659;15,79110178;22,19761447;9,08395411;113,6326468;3,366520642;0
1;11;2624924,951;271,628162;17,78903208;3,704208281;4,525220314;11,3606096;156,4481925;1,173844047;0
1;11;2605403,793;820,8184514;13,07121668;29,91398734;8,935688035;14,07075389;140,9084831;2,110861578;0
1;11;2597515,472;828,1317846;30,43545579;6,1606172;12,93912871;13,97063457;207,8538211;2,391886433;0
1;11;2606145,782;1428,603176;16,75700044;10,91294506;25,25252076;19,89368579;174,6196894;1,262575448;0
1;11;2524160,061;265,8794116;12,73894685;46,66643633;45,96693556;13,61406637;109,5947085;2,420188964;0
1;11;2609829,34;596,1622518;41,69933918;10,54463008;12,03464214;21,91604707;159,5418975;2,199469988;0
